Id,Orientation
1,284.483454
2,286.881315
3,313.024889
4,313.697876
5,315.428950
6,25.170088
7,301.682983
8,295.199662
9,297.149898
10,293.347389
11,294.895195
12,292.639719
13,209.451527
14,202.110504
15,208.178263
16,208.105555
17,214.380656
18,224.716370
19,217.325269
20,215.706026
21,217.476300
22,215.374571
23,214.738002
24,202.138980
25,203.198496
26,207.821719
27,204.624986
28,205.277550
29,269.999767
30,207.165227
31,211.138587
32,208.609310
33,213.690759
34,217.698339
35,253.770157
36,215.732846
37,127.939463
38,129.572891
39,143.565246
40,154.397579
41,141.841716
42,129.535924
43,132.880739
44,146.103600
45,164.765583
46,303.338044
47,319.071391
48,289.316704
49,204.998199
50,204.620973
51,290.194514
52,289.560541
53,289.008658
54,282.613542
55,125.287965
56,186.654084
57,189.089745
58,186.339666
59,189.465983
60,183.566759
61,188.778070
62,189.454301
63,194.035069
64,190.885842
65,196.697690
66,192.679256
67,194.040854
68,192.803562
69,192.952359
70,194.035446
71,192.995733
72,194.024709
73,227.292219
74,191.828683
75,217.812844
76,216.356124
77,226.173786
78,218.252063
79,225.990155
80,201.848487
81,201.930826
82,113.284480
83,112.915552
84,199.424343
85,211.534889
86,212.643917
87,212.005435
88,211.263231
89,212.643577
90,214.294027
91,214.018829
92,210.509892
93,194.995218
94,209.357412
95,207.699193
96,212.005151
97,200.389944
98,210.495194
99,206.560702
100,201.595258
101,194.035069
102,201.038269
103,215.231570
104,215.535823
105,223.150760
106,227.184643
107,227.184643
108,237.029129
109,232.550025
110,233.284909
111,231.044123
112,3.789469
113,296.023843
114,296.209681
115,302.620372
116,305.417735
117,305.510685
118,171.193619
119,160.709400
120,153.437116
121,152.019536
122,145.492432
123,141.464055
124,261.076958
125,276.913341
126,290.555318
127,281.887915
128,290.554825
129,307.433672
130,312.674369
131,315.643548
132,314.999766
133,315.743874
134,313.624866
135,310.601348
136,310.466307
137,308.435072
138,137.124284
139,126.712799
140,130.096470
141,128.437825
142,129.805337
143,125.676050
144,123.326069
145,126.339089
146,129.368744
147,122.008117
148,146.309435
149,151.819844
150,157.469426
151,159.863981
152,157.066762
153,162.142185
154,113.729123
155,115.639523
156,114.715781
157,121.498248
158,291.660172
159,282.282841
160,264.831788
161,238.276323
162,290.579521
163,291.870232
164,209.388648
165,207.897558
166,208.239188
167,203.626626
168,208.132013
169,195.970086
170,198.515686
171,197.354134
172,195.944257
173,197.715585
174,197.817657
175,199.426794
176,201.038325
177,209.900655
178,286.864638
179,285.678633
180,219.343503
181,228.560261
182,313.781167
183,314.847922
184,134.361510
185,134.361533
186,118.919769
187,304.618568
188,317.491313
189,305.862551
190,301.328128
191,307.302612
192,301.457480
193,300.963523
194,303.687987
195,297.150898
196,298.885932
197,292.832517
198,285.944558
199,293.964566
200,286.163707
201,277.351950
202,282.995328
203,276.339666
204,280.784065
205,285.420654
206,276.009200
207,278.615092
208,276.339666
209,279.461765
210,278.428476
211,276.709276
212,278.582987
213,279.461765
214,281.887915
215,281.311546
216,285.944559
217,289.774984
218,293.387647
219,288.433515
220,291.802832
221,289.981471
222,313.829667
223,319.400167
224,288.433515
225,285.172065
226,282.225479
227,284.575717
228,279.660315
229,282.528090
230,286.164992
231,285.834297
232,204.064187
233,207.979169
234,205.012433
235,125.287965
236,221.523979
237,231.341131
238,224.070402
239,208.981410
240,205.277551
241,208.134120
242,207.979169
243,208.705926
244,185.664055
245,169.380112
246,175.232813
247,173.518016
248,171.634084
249,170.537368
250,170.961687
251,171.026297
252,175.235021
253,179.999767
254,183.576849
255,189.038186
256,190.128832
257,194.552458
258,195.446022
259,194.875592
260,191.768163
261,188.295647
262,183.579091
263,182.045053
264,181.592166
265,179.999767
266,171.833541
267,293.361426
268,298.507100
269,121.908408
270,118.257608
271,114.550508
272,205.148995
273,30.821366
274,7.953801
275,134.716188
276,130.860577
277,134.648263
278,131.503727
279,200.322905
280,201.834469
281,188.099339
282,221.822460
283,80.432485
284,73.228731
285,80.094857
286,84.289653
287,89.999767
288,109.090234
289,76.476607
290,75.635185
291,75.727254
292,16.203148
293,7.125601
294,9.094165
295,14.036011
296,12.803562
297,15.256364
298,14.380593
299,16.698850
300,23.107628
301,41.344057
302,44.534275
303,42.245768
304,146.725206
305,159.443721
306,155.773619
307,145.005490
308,140.196164
309,133.259655
310,138.012289
311,133.995567
312,130.600496
313,125.418743
314,125.213367
315,115.464088
316,119.744648
317,109.438915
318,108.434715
319,107.526908
320,101.887915
321,110.514616
322,111.593087
323,133.577414
324,144.915682
325,141.981484
326,257.254422
327,257.254422
328,252.581427
329,253.267281
330,139.537681
331,130.605016
332,140.904099
333,142.224495
334,139.844369
335,137.815993
336,139.518731
337,15.119641
338,13.392265
339,357.038831
340,135.483129
341,137.726077
342,144.536402
343,272.489320
344,244.722045
345,227.862173
346,235.198015
347,79.053357
348,285.766264
349,285.678195
350,281.201208
351,281.201209
352,283.239909
353,282.395627
354,280.136284
355,312.268733
356,283.100796
357,283.324471
358,285.194182
359,348.938801
360,259.019377
361,266.717536
362,275.397255
363,293.842481
364,308.183981
365,326.265916
366,330.055791
367,334.183822
368,338.416395
369,334.739317
370,329.691372
371,325.499595
372,312.597122
373,311.286874
374,312.998937
375,304.822938
376,294.604390
377,292.871154
378,294.694552
379,290.422907
380,285.125724
381,289.607694
382,283.374542
383,275.945781
384,266.662512
385,271.331515
386,279.549888
387,288.838224
388,292.785537
389,302.155993
390,310.850191
391,312.506273
392,309.468313
393,305.329003
394,298.705622
395,289.982088
396,285.073573
397,262.205546
398,259.271312
399,252.496323
400,246.159812
401,249.487297
402,256.663911
403,269.384710
404,282.709851
405,289.242454
406,293.125094
407,295.544616
408,301.079685
409,301.615621
410,293.697682
411,284.373142
412,258.156129
413,254.548567
414,262.720759
415,281.935367
416,287.831758
417,293.052101
418,286.865049
419,278.858634
420,270.959054
421,262.422488
422,252.981887
423,244.484391
424,250.207803
425,252.044380
426,259.825340
427,267.241806
428,277.048212
429,279.943756
430,286.547223
431,300.057264
432,309.609403
433,317.797176
434,321.069319
435,327.853693
436,336.192787
437,338.377199
438,342.800081
439,309.818429
440,301.827213
441,278.880426
442,272.489320
443,319.946967
444,309.134541
445,317.076475
446,327.050551
447,338.384988
448,350.537445
449,356.605244
450,338.277364
451,88.044177
452,56.321722
453,38.376251
454,39.453378
455,355.053501
456,353.518016
457,345.961828
458,335.556634
459,326.725206
460,323.129015
461,311.185904
462,302.277883
463,312.707315
464,297.298707
465,293.961265
466,289.574451
467,289.982172
468,26.775704
469,37.691896
470,50.775534
471,64.799732
472,65.056289
473,73.298981
474,85.236291
475,88.576549
476,96.588993
477,99.240859
478,255.522487
479,245.772022
480,233.129870
481,223.024834
482,208.610227
483,198.434716
484,198.434716
485,196.259972
486,208.810561
487,235.998281
488,136.634492
489,133.152156
490,156.801176
491,177.954359
492,181.908920
493,181.684451
494,184.581046
495,177.056388
496,192.804034
497,186.008773
498,222.470055
499,202.446864
500,192.264541
501,170.837420
502,148.840815
503,278.972718
504,282.199789
505,278.422739
506,283.872443
507,283.871820
508,279.974357
509,291.139466
510,285.593001
511,284.742707
512,287.657686
513,273.466686
514,287.899385
515,286.220063
516,281.888255
517,288.433915
518,285.944559
519,278.129389
520,270.131353
521,266.860298
522,287.657687
523,222.122334
524,224.999768
525,248.962257
526,259.694921
527,241.910769
528,214.168592
529,208.811391
530,204.903226
531,199.094338
532,196.886867
533,199.289529
534,196.388925
535,185.709885
536,176.820085
537,174.506703
538,170.537769
539,175.237671
540,183.899026
541,189.926770
542,198.432315
543,218.501090
544,220.364908
545,223.150760
546,226.547855
547,223.363535
548,225.880914
549,229.396213
550,246.037939
551,257.125064
552,263.659868
553,277.124414
554,269.999767
555,290.853464
556,295.640023
557,285.947428
558,278.129389
559,284.036010
560,269.999767
561,247.379618
562,210.698381
563,199.652505
564,192.528575
565,185.193802
566,182.862053
567,176.820085
568,169.383011
569,164.845271
570,161.563857
571,162.647793
572,172.332300
573,174.642733
574,189.236056
575,342.800081
576,340.794496
577,342.594901
578,345.591565
579,349.059953
580,345.729735
581,344.815230
582,351.297063
583,356.311857
584,350.028747
585,342.740688
586,337.214188
587,331.395651
588,328.650463
589,330.631837
590,339.329411
591,349.370593
592,356.710591
593,353.255431
594,346.762219
595,340.667613
596,332.692541
597,325.676948
598,296.215533
599,291.123304
600,294.115072
601,296.939327
602,305.058072
603,311.883207
604,331.635209
605,336.831815
606,342.567427
607,350.240384
608,358.202743
609,1.657428
610,11.367316
611,17.600055
612,14.222118
613,7.288076
614,356.004738
615,358.710217
616,4.029680
617,13.827136
618,19.755540
619,24.802324
620,30.664807
621,35.836340
622,41.224383
623,51.313036
624,56.142374
625,61.539990
626,66.251372
627,71.549632
628,67.390108
629,62.725427
630,58.807312
631,55.425969
632,52.049403
633,39.612614
634,36.464016
635,29.823079
636,21.257081
637,15.350368
638,16.291992
639,207.552544
640,201.733093
641,197.372644
642,197.693439
643,194.217943
644,194.881348
645,206.948652
646,220.758096
647,230.486112
648,239.278230
649,250.707094
650,253.385521
651,235.249299
652,218.513627
653,221.923451
654,278.746415
655,284.206099
656,289.178127
657,289.446127
658,158.612599
659,163.141368
660,128.990760
661,149.397314
662,211.606203
663,216.869665
664,213.023635
665,237.094525
666,249.145309
667,237.850656
668,154.706569
669,149.036010
670,139.184683
671,127.702212
672,273.946078
673,139.518731
674,141.114804
675,140.352545
676,140.307559
677,140.307560
678,138.813355
679,269.999767
680,140.194825
681,137.230197
682,140.599203
683,139.460768
684,161.029359
685,155.224626
686,80.669139
687,66.370390
688,42.397206
689,35.537446
690,33.398248
691,139.460768
692,142.940974
693,258.201741
694,258.907655
695,260.857849
696,261.870385
697,259.695305
698,254.407246
699,252.472626
700,246.037355
701,266.926555
702,269.999767
703,256.371023
704,235.561418
705,199.289065
706,191.769175
707,178.208357
708,167.471524
709,301.786111
710,313.993912
711,306.305069
712,306.868703
713,308.661917
714,308.658638
715,303.071502
716,301.605620
717,293.964566
718,285.424581
719,284.927398
720,281.888935
721,274.159220
722,269.999767
723,269.999767
724,288.434716
725,276.809808
726,279.461764
727,281.389142
728,278.427810
729,278.422481
730,276.519723
731,269.999767
732,258.410198
733,261.866783
734,261.573056
735,269.999767
736,269.999767
737,283.239657
738,284.937960
739,298.881708
740,285.424581
741,269.999767
742,269.999767
743,267.426529
744,266.985852
745,269.999767
746,264.427682
747,257.799567
748,248.683045
749,250.014558
750,250.014207
751,244.713148
752,240.252424
753,255.526943
754,278.746415
755,105.766881
756,107.528359
757,106.100146
758,107.968986
759,100.954455
760,102.265008
761,103.788545
762,104.621108
763,113.104938
764,109.986729
765,105.731869
766,104.742707
767,108.437717
768,106.312988
769,106.650326
770,97.351163
771,105.124657
772,106.503644
773,109.335812
774,105.090661
775,99.560432
776,107.101803
777,103.495064
778,101.690724
779,107.431500
780,107.102548
781,106.259433
782,106.127947
783,105.679414
784,105.549032
785,107.592581
786,106.126879
787,103.494628
788,105.424581
789,106.503644
790,107.726754
791,130.080635
792,111.801416
793,111.801416
794,110.343687
795,105.642276
796,202.117344
797,202.117344
798,195.706232
799,191.004094
800,179.064779
801,34.888190
802,72.255653
803,78.111619
804,89.999767
805,80.538094
806,93.521084
807,84.559651
808,84.805535
809,70.344966
810,71.074737
811,65.579405
812,67.619419
813,72.028660
814,63.435917
815,70.015843
816,64.360261
817,61.926062
818,63.436317
819,75.557833
820,54.582266
821,126.027140
822,115.083361
823,93.366228
824,55.880758
825,67.379903
826,73.767417
827,78.541015
828,96.339959
829,107.281265
830,317.792469
831,342.299339
832,357.273456
833,186.328131
834,218.068725
835,244.454376
836,257.903878
837,253.780276
838,258.111619
839,251.075544
840,250.819545
841,248.587118
842,240.255133
843,231.339959
844,221.184843
845,230.196165
846,234.783506
847,240.254394
848,269.999767
849,253.495891
850,261.085273
851,285.172065
852,282.528817
853,276.135091
854,217.999432
855,211.140053
856,214.990660
857,214.430010
858,212.306969
859,213.495126
860,231.341521
861,211.700957
862,208.299752
863,213.839944
864,214.992110
865,212.734647
866,209.147758
867,213.691682
868,209.352676
869,207.823806
870,204.444709
871,206.560016
872,212.006770
873,207.597025
874,204.229510
875,194.034599
876,201.336769
877,208.441858
878,206.563218
879,203.471894
880,201.800073
881,204.962968
882,208.023908
883,216.877349
884,210.253219
885,206.562418
886,216.869940
887,214.651857
888,211.428524
889,202.578270
890,90.352645
891,199.074600
892,204.637482
893,216.222428
894,215.927065
895,223.992224
896,221.753785
897,226.590908
898,226.545232
899,228.767705
900,230.398285
901,238.921511
902,244.470070
903,245.950544
904,246.734075
905,238.402351
906,232.092285
907,227.770826
908,226.113150
909,227.712010
910,231.715277
911,235.260302
912,240.048199
913,241.626978
914,242.840513
915,245.421604
916,247.699630
917,266.678291
918,278.783943
919,286.760671
920,291.878411
921,290.467324
922,281.499002
923,266.901310
924,247.044677
925,226.817003
926,312.266692
927,316.474633
928,353.748558
929,356.098335
930,352.333207
931,349.113144
932,340.017361
933,325.324603
934,308.161161
935,299.873660
936,299.550903
937,298.442577
938,296.633632
939,295.767797
940,298.806964
941,300.897412
942,325.007746
943,325.492008
944,333.434715
945,345.952224
946,359.999767
947,14.036011
948,15.946296
949,9.460792
950,2.383714
951,352.880662
952,343.301844
953,329.740344
954,323.129485
955,329.740343
956,337.382933
957,340.342900
958,340.543296
959,351.869665
960,6.170248
961,14.250601
962,19.092468
963,21.885719
964,22.828700
965,22.329158
966,20.322528
967,20.322528
968,21.161180
969,24.623470
970,27.823806
971,26.564254
972,24.623470
973,21.801177
974,20.071513
975,17.570832
976,12.910028
977,7.118134
978,5.376473
979,287.523889
980,298.886348
981,299.958995
982,268.644078
983,227.543908
984,204.626115
985,194.036011
986,194.036011
987,175.236125
988,159.443721
989,141.562465
990,124.329984
991,126.774546
992,210.646678
993,209.357618
994,210.032890
995,207.976902
996,208.944162
997,209.053265
998,210.801078
999,206.567648
1000,198.431783
1001,178.250839
1002,188.029762
1003,189.461627
1004,190.304130
1005,192.857930
1006,195.376569
1007,202.204260
1008,160.083164
1009,160.851641
1010,160.201089
1011,159.441938
1012,162.039470
1013,162.817758
1014,151.947186
1015,207.395159
1016,264.292286
1017,249.273960
1018,244.799600
1019,241.976166
1020,230.533464
1021,231.345683
1022,224.090155
1023,219.805159
1024,223.153911
1025,228.356722
1026,224.289277
1027,40.529068
1028,207.135082
1029,186.557225
1030,68.900221
1031,61.773014
1032,58.542820
1033,51.342330
1034,53.345005
1035,47.724826
1036,42.878591
1037,30.255863
1038,18.970682
1039,5.191882
1040,359.999767
1041,6.116917
1042,15.256283
1043,57.279530
1044,61.759276
1045,59.162457
1046,66.948107
1047,43.531647
1048,29.356357
1049,40.731163
1050,46.005716
1051,49.143610
1052,56.793225
1053,62.048792
1054,60.123734
1055,61.749840
1056,60.255865
1057,57.694003
1058,48.077184
1059,17.451417
1060,18.314664
1061,23.384983
1062,36.501221
1063,30.650426
1064,35.166212
1065,60.254860
1066,80.193692
1067,57.994348
1068,39.052897
1069,27.215924
1070,18.690879
1071,16.927279
1072,12.874750
1073,359.999767
1074,336.974279
1075,337.963523
1076,346.577933
1077,158.370677
1078,160.709369
1079,162.897048
1080,159.444174
1081,163.299278
1082,165.964294
1083,170.326195
1084,176.932536
1085,179.999767
1086,183.815238
1087,184.204375
1088,182.046577
1089,190.757895
1090,185.788844
1091,182.995706
1092,189.831974
1093,197.986402
1094,199.680473
1095,199.271092
1096,199.265959
1097,199.208878
1098,197.488068
1099,193.767484
1100,193.767483
1101,187.102815
1102,182.353889
1103,338.433290
1104,38.269849
1105,36.291765
1106,269.242020
1107,268.978454
1108,297.012036
1109,288.926446
1110,289.981471
1111,285.945163
1112,269.999767
1113,269.999767
1114,269.999767
1115,254.054976
1116,253.494558
1117,250.664696
1118,240.883986
1119,244.797555
1120,248.836335
1121,245.434153
1122,248.200014
1123,244.797556
1124,269.999767
1125,244.795107
1126,252.646597
1127,250.119317
1128,351.357495
1129,356.819937
1130,357.954481
1131,9.462089
1132,26.564820
1133,2.602230
1134,345.963523
1135,359.999767
1136,356.820085
1137,352.868840
1138,344.293302
1139,333.433648
1140,322.126076
1141,309.715699
1142,309.718850
1143,309.093964
1144,312.273564
1145,313.408682
1146,311.347197
1147,308.659437
1148,314.999766
1149,311.633667
1150,313.917988
1151,312.511391
1152,310.100907
1153,308.391662
1154,59.811270
1155,53.037040
1156,41.185835
1157,41.185905
1158,44.193524
1159,47.725861
1160,51.337031
1161,47.070272
1162,47.289662
1163,52.432961
1164,53.469466
1165,54.463712
1166,58.109164
1167,60.572431
1168,62.783129
1169,58.877172
1170,59.857896
1171,60.463018
1172,277.593991
1173,284.035445
1174,281.889869
1175,288.082344
1176,290.853464
1177,286.799047
1178,295.462224
1179,295.866730
1180,190.157645
1181,186.224755
1182,194.716355
1183,188.533330
1184,203.735258
1185,215.725030
1186,235.743771
1187,246.215597
1188,258.149828
1189,251.292301
1190,256.341619
1191,261.619894
1192,251.123089
1193,241.886150
1194,237.863568
1195,233.870279
1196,258.615019
1197,257.236931
1198,261.784374
1199,258.346457
1200,258.595247
1201,258.750124
1202,257.639950
1203,257.066761
1204,258.383867
1205,258.441404
1206,262.169161
1207,260.800942
1208,251.099029
1209,104.229231
1210,207.367768
1211,95.267573
1212,242.112532
1213,239.420688
1214,236.820808
1215,240.524257
1216,291.068244
1217,292.330082
1218,294.034216
1219,265.030275
1220,224.136501
1221,291.528692
1222,292.680071
1223,293.613901
1224,104.229315
1225,203.160201
1226,204.901815
1227,207.923687
1228,209.981993
1229,236.304159
1230,211.263992
1231,170.537445
1232,211.138145
1233,214.630619
1234,294.869162
1235,291.037278
1236,292.972180
1237,176.797361
1238,162.072261
1239,157.583953
1240,146.304158
1241,67.936092
1242,87.272210
1243,96.154972
1244,96.053284
1245,82.757335
1246,249.453925
1247,255.529717
1248,257.472427
1249,250.017000
1250,247.285210
1251,251.347456
1252,252.071865
1253,248.621460
1254,256.327608
1255,207.499506
1256,206.179099
1257,207.653999
1258,223.025746
1259,221.759318
1260,216.869239
1261,219.382463
1262,305.248889
1263,306.234369
1264,36.253883
1265,37.234894
1266,35.334962
1267,80.102515
1268,304.644473
1269,248.392528
1270,292.995824
1271,293.660643
1272,293.424456
1273,293.750222
1274,293.703016
1275,294.772111
1276,298.661092
1277,171.723821
1278,177.975044
1279,25.476219
1280,21.908492
1281,22.814699
1282,289.201425
1283,2.613554
1284,0.615537
1285,262.320559
1286,237.318753
1287,246.038467
1288,160.017361
1289,163.008469
1290,159.101467
1291,181.997011
1292,192.340287
1293,193.134017
1294,187.124537
1295,232.126077
1296,229.897148
1297,230.774466
1298,229.552878
1299,237.381397
1300,242.538915
1301,53.285654
1302,63.434717
1303,213.138012
1304,213.138016
1305,3.012613
1306,357.650217
1307,351.870068
1308,356.820163
1309,1.102395
1310,3.572820
1311,6.116584
1312,10.619035
1313,14.034717
1314,17.817475
1315,13.928739
1316,13.928739
1317,17.456825
1318,26.572286
1319,31.848142
1320,33.690329
1321,36.866732
1322,41.496367
1323,48.607714
1324,213.595548
1325,215.045337
1326,217.233819
1327,221.184785
1328,190.622273
1329,255.164489
1330,90.993413
1331,101.411555
1332,109.005528
1333,113.885960
1334,46.623992
1335,213.976126
1336,210.488293
1337,252.887588
1338,251.563673
1339,249.527756
1340,250.017227
1341,246.297005
1342,245.432019
1343,248.840996
1344,249.144656
1345,244.611474
1346,241.606257
1347,241.388666
1348,238.987293
1349,238.987475
1350,237.760730
1351,237.760671
1352,237.030639
1353,238.275667
1354,243.788140
1355,247.012138
1356,243.432150
1357,243.020625
1358,239.808049
1359,235.008018
1360,221.474082
1361,230.648803
1362,227.069753
1363,230.774334
1364,228.989331
1365,232.695720
1366,229.764201
1367,229.764294
1368,232.814757
1369,229.553834
1370,234.967909
1371,235.712436
1372,217.439052
1373,204.223656
1374,205.080630
1375,207.107002
1376,210.581218
1377,218.153698
1378,220.601782
1379,223.529975
1380,234.727366
1381,209.744679
1382,173.884268
1383,140.727600
1384,142.124472
1385,57.508323
1386,140.727600
1387,144.854225
1388,152.688793
1389,305.181307
1390,345.068738
1391,345.380366
1392,352.873146
1393,330.578677
1394,323.530868
1395,321.196757
1396,310.876786
1397,24.636150
1398,246.991669
1399,242.314109
1400,239.130544
1401,237.259741
1402,242.193251
1403,245.484079
1404,248.755530
1405,209.959053
1406,136.041065
1407,145.310201
1408,146.284229
1409,146.284264
1410,146.284449
1411,143.128821
1412,146.310438
1413,149.152879
1414,151.926698
1415,149.743329
1416,230.630393
1417,303.766502
1418,302.003749
1419,302.619928
1420,304.508664
1421,301.216160
1422,310.601147
1423,301.138190
1424,228.120883
1425,206.565552
1426,199.652563
